Timestamp,Value,Type
12:44:11 AM.409,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:11 AM.409,"Soil Moisture: 52.00 %\r\n",received
12:44:11 AM.506,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:11 AM.506,"Soil Moisture: 52.00 %\r\n",received
12:44:11 AM.602,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:11 AM.602,"Soil Moisture: 52.00 %\r\n",received
12:44:11 AM.697,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:11 AM.697,"Soil Moisture: 52.00 %\r\n",received
12:44:11 AM.777,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:11 AM.777,"Soil Moisture: 52.00 %\r\n",received
12:44:11 AM.874,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:11 AM.874,"Soil Moisture: 52.00 %\r\n",received
12:44:11 AM.969,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:11 AM.969,"Soil Moisture: 52.00 %\r\n",received
12:44:12 AM.48,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:12 AM.48,"Soil Moisture: 52.00 %\r\n",received
12:44:12 AM.144,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:12 AM.144,"Soil Moisture: 52.00 %\r\n",received
12:44:12 AM.241,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:12 AM.241,"Soil Moisture: 52.00 %\r\n",received
12:44:12 AM.337,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:12 AM.337,"Soil Moisture: 52.00 %\r\n",received
12:44:12 AM.432,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:12 AM.432,"Soil Moisture: 52.00 %\r\n",received
12:44:12 AM.512,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:12 AM.512,"Soil Moisture: 52.00 %\r\n",received
12:44:12 AM.609,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:12 AM.609,"Soil Moisture: 52.00 %\r\n",received
12:44:12 AM.705,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:12 AM.705,"Soil Moisture: 52.00 %\r\n",received
12:44:12 AM.801,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:12 AM.801,"Soil Moisture: 52.00 %\r\n",received
12:44:12 AM.880,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:12 AM.880,"Soil Moisture: 53.00 %\r\n",received
12:44:12 AM.994,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:12 AM.994,"Soil Moisture: 53.00 %\r\n",received
12:44:13 AM.88,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:13 AM.88,"Soil Moisture: 53.00 %\r\n",received
12:44:13 AM.186,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:13 AM.186,"Soil Moisture: 52.00 %\r\n",received
12:44:13 AM.297,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:13 AM.297,"Soil Moisture: 56.00 %\r\n",received
12:44:13 AM.393,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:13 AM.393,"Soil Moisture: 54.00 %\r\n",received
12:44:13 AM.505,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:13 AM.505,"Soil Moisture: 52.00 %\r\n",received
12:44:13 AM.602,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:13 AM.602,"Soil Moisture: 47.00 %\r\n",received
12:44:13 AM.681,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:13 AM.681,"Soil Moisture: 35.00 %\r\n",received
12:44:13 AM.778,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:13 AM.778,"Soil Moisture: 33.00 %\r\n",received
12:44:13 AM.872,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:13 AM.872,"Soil Moisture: 47.00 %\r\n",received
12:44:13 AM.969,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:13 AM.969,"Soil Moisture: 50.00 %\r\n",received
12:44:14 AM.82,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:14 AM.82,"Soil Moisture: 50.00 %\r\n",received
12:44:14 AM.161,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:14 AM.161,"Soil Moisture: 62.00 %\r\n",received
12:44:14 AM.257,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:14 AM.257,"Soil Moisture: 52.00 %\r\n",received
12:44:14 AM.352,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:14 AM.352,"Soil Moisture: 51.00 %\r\n",received
12:44:14 AM.449,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:14 AM.449,"Soil Moisture: 47.00 %\r\n",received
12:44:14 AM.530,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:14 AM.530,"Soil Moisture: 67.00 %\r\n",received
12:44:14 AM.642,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:14 AM.642,"Soil Moisture: 100.00 %\r\n",received
12:44:14 AM.736,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:14 AM.736,"Soil Moisture: 89.00 %\r\n",received
12:44:14 AM.833,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:14 AM.833,"Soil Moisture: 30.00 %\r\n",received
12:44:14 AM.930,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:14 AM.930,"Soil Moisture: 28.00 %\r\n",received
12:44:15 AM.10,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:15 AM.10,"Soil Moisture: 31.00 %\r\n",received
12:44:15 AM.106,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:15 AM.106,"Soil Moisture: 30.00 %\r\n",received
12:44:15 AM.216,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:15 AM.216,"Soil Moisture: 30.00 %\r\n",received
12:44:15 AM.330,"Temperature: 24.40 °C, Humidity: 23.00 %\r\n",received
12:44:15 AM.330,"Soil Moisture: 25.00 %\r\n",received
12:44:15 AM.441,"Temperature: 24.40 °C, Humidity: 23.00 %\r\n",received
12:44:15 AM.441,"Soil Moisture: 61.00 %\r\n",received
12:44:15 AM.538,"Temperature: 24.40 °C, Humidity: 23.00 %\r\n",received
12:44:15 AM.538,"Soil Moisture: 22.00 %\r\n",received
12:44:15 AM.633,"Temperature: 24.40 °C, Humidity: 23.00 %\r\n",received
12:44:15 AM.633,"Soil Moisture: 23.00 %\r\n",received
12:44:15 AM.745,"Temperature: 24.40 °C, Humidity: 23.00 %\r\n",received
12:44:15 AM.745,"Soil Moisture: 93.00 %\r\n",received
12:44:15 AM.824,"Temperature: 24.40 °C, Humidity: 23.00 %\r\n",received
12:44:15 AM.824,"Soil Moisture: 23.00 %\r\n",received
12:44:15 AM.921,"Temperature: 24.40 °C, Humidity: 23.00 %\r\n",received
12:44:15 AM.921,"Soil Moisture: 22.00 %\r\n",received
12:44:16 AM.18,"Temperature: 24.40 °C, Humidity: 23.00 %\r\n",received
12:44:16 AM.18,"Soil Moisture: 23.00 %\r\n",received
12:44:16 AM.113,"Temperature: 24.40 °C, Humidity: 23.00 %\r\n",received
12:44:16 AM.113,"Soil Moisture: 23.00 %\r\n",received
12:44:16 AM.210,"Temperature: 24.40 °C, Humidity: 23.00 %\r\n",received
12:44:16 AM.210,"Soil Moisture: 23.00 %\r\n",received
12:44:16 AM.290,"Temperature: 24.40 °C, Humidity: 23.00 %\r\n",received
12:44:16 AM.290,"Soil Moisture: 23.00 %\r\n",received
12:44:16 AM.386,"Temperature: 24.40 °C, Humidity: 23.00 %\r\n",received
12:44:16 AM.386,"Soil Moisture: 23.00 %\r\n",received
12:44:16 AM.481,"Temperature: 24.40 °C, Humidity: 23.00 %\r\n",received
12:44:16 AM.481,"Soil Moisture: 71.00 %\r\n",received
12:44:16 AM.594,"Temperature: 24.40 °C, Humidity: 23.00 %\r\n",received
12:44:16 AM.594,"Soil Moisture: 22.00 %\r\n",received
12:44:16 AM.690,"Temperature: 24.40 °C, Humidity: 23.00 %\r\n",received
12:44:16 AM.690,"Soil Moisture: 22.00 %\r\n",received
12:44:16 AM.769,"Temperature: 24.40 °C, Humidity: 23.00 %\r\n",received
12:44:16 AM.769,"Soil Moisture: 22.00 %\r\n",received
12:44:16 AM.865,"Temperature: 24.40 °C, Humidity: 23.00 %\r\n",received
12:44:16 AM.865,"Soil Moisture: 22.00 %\r\n",received
12:44:16 AM.961,"Temperature: 24.40 °C, Humidity: 23.00 %\r\n",received
12:44:16 AM.961,"Soil Moisture: 22.00 %\r\n",received
12:44:17 AM.57,"Temperature: 24.40 °C, Humidity: 23.00 %\r\n",received
12:44:17 AM.57,"Soil Moisture: 22.00 %\r\n",received
12:44:17 AM.168,"Temperature: 24.40 °C, Humidity: 23.00 %\r\n",received
12:44:17 AM.168,"Soil Moisture: 22.00 %\r\n",received
12:44:17 AM.248,"Temperature: 24.40 °C, Humidity: 23.00 %\r\n",received
12:44:17 AM.248,"Soil Moisture: 22.00 %\r\n",received
12:44:17 AM.378,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:17 AM.378,"Soil Moisture: 22.00 %\r\n",received
12:44:17 AM.489,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:17 AM.489,"Soil Moisture: 23.00 %\r\n",received
12:44:17 AM.569,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:17 AM.569,"Soil Moisture: 24.00 %\r\n",received
12:44:17 AM.681,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:17 AM.681,"Soil Moisture: 26.00 %\r\n",received
12:44:17 AM.777,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:17 AM.777,"Soil Moisture: 32.00 %\r\n",received
12:44:17 AM.873,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:17 AM.873,"Soil Moisture: 35.00 %\r\n",received
12:44:17 AM.969,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:17 AM.969,"Soil Moisture: 36.00 %\r\n",received
12:44:18 AM.49,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:18 AM.49,"Soil Moisture: 40.00 %\r\n",received
12:44:18 AM.145,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:18 AM.145,"Soil Moisture: 41.00 %\r\n",received
12:44:18 AM.256,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:18 AM.256,"Soil Moisture: 43.00 %\r\n",received
12:44:18 AM.353,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:18 AM.353,"Soil Moisture: 40.00 %\r\n",received
12:44:18 AM.449,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:18 AM.449,"Soil Moisture: 96.00 %\r\n",received
12:44:18 AM.529,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:18 AM.529,"Soil Moisture: 36.00 %\r\n",received
12:44:18 AM.624,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:18 AM.624,"Soil Moisture: 34.00 %\r\n",received
12:44:18 AM.721,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:18 AM.721,"Soil Moisture: 32.00 %\r\n",received
12:44:18 AM.832,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:18 AM.832,"Soil Moisture: 30.00 %\r\n",received
12:44:18 AM.928,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:18 AM.928,"Soil Moisture: 30.00 %\r\n",received
12:44:19 AM.8,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:19 AM.8,"Soil Moisture: 31.00 %\r\n",received
12:44:19 AM.103,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:19 AM.103,"Soil Moisture: 33.00 %\r\n",received
12:44:19 AM.200,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:19 AM.200,"Soil Moisture: 36.00 %\r\n",received
12:44:19 AM.297,"Temperature: 24.50 °C, Humidity: 23.00 %\r\n",received
12:44:19 AM.297,"Soil Moisture: 41.00 %\r\n",received
12:44:19 AM.426,"Temperature: 24.40 °C, Humidity: 23.00 %\r\n",received
12:44:19 AM.426,"Soil Moisture: 42.00 %\r\n",received
12:44:19 AM.537,"Temperature: 24.40 °C, Humidity: 23.00 %\r\n",received
12:44:19 AM.537,"Soil Moisture: 47.00 %\r\n",received
12:44:19 AM.634,"Temperature: 24.40 °C, Humidity: 23.00 %\r\n",received
12:44:19 AM.634,"Soil Moisture: 47.00 %\r\n",received
12:44:19 AM.713,"Temperature: 24.40 °C, Humidity: 23.00 %\r\n",received
12:44:19 AM.713,"Soil Moisture: 44.00 %\r\n",received
12:44:19 AM.809,"Temperature: 24.40 °C, Humidity: 23.00 %\r\n",received
12:44:19 AM.809,"Soil Moisture: 43.00 %\r\n",received
12:44:19 AM.921,"Temperature: 24.40 °C, Humidity: 23.00 %\r\n",received
12:44:19 AM.921,"Soil Moisture: 44.00 %\r\n",received
12:44:20 AM.17,"Temperature: 24.40 °C, Humidity: 23.00 %\r\n",received
12:44:20 AM.17,"Soil Moisture: 44.00 %\r\n",received
12:44:20 AM.114,"Temperature: 24.40 °C, Humidity: 23.00 %\r\n",received
12:44:20 AM.114,"Soil Moisture: 44.00 %\r\n",received
