Timestamp,Value,Type
12:02:06 AM.89,"Temperature: 25.80 °C, Humidity: 22.00 %\r\n",received
12:02:06 AM.141,"Temperature: 25.80 °C, Humidity: 22.00 %\r\n",received
12:02:06 AM.206,"Temperature: 25.80 °C, Humidity: 22.00 %\r\n",received
12:02:06 AM.273,"Temperature: 25.80 °C, Humidity: 22.00 %\r\n",received
12:02:06 AM.334,"Temperature: 25.80 °C, Humidity: 22.00 %\r\n",received
12:02:06 AM.422,"Temperature: 25.80 °C, Humidity: 22.00 %\r\n",received
12:02:06 AM.477,"Temperature: 25.80 °C, Humidity: 22.00 %\r\n",received
12:02:06 AM.541,"Temperature: 25.80 °C, Humidity: 22.00 %\r\n",received
12:02:06 AM.605,"Temperature: 25.80 °C, Humidity: 22.00 %\r\n",received
12:02:06 AM.668,"Temperature: 25.80 °C, Humidity: 22.00 %\r\n",received
12:02:06 AM.749,"Temperature: 25.80 °C, Humidity: 22.00 %\r\n",received
12:02:06 AM.813,"Temperature: 25.80 °C, Humidity: 22.00 %\r\n",received
12:02:06 AM.974,"Temperature: 25.80 °C, Humidity: 22.00 %\r\n",received
12:02:06 AM.985,"Temperature: 25.80 °C, Humidity: 22.00 %\r\n",received
12:02:07 AM.13,"Temperature: 25.80 °C, Humidity: 22.00 %\r\n",received
12:02:07 AM.122,"Temperature: 25.80 °C, Humidity: 22.00 %\r\n",received
12:02:07 AM.174,"Temperature: 25.80 °C, Humidity: 22.00 %\r\n",received
12:02:07 AM.218,"Temperature: 25.80 °C, Humidity: 22.00 %\r\n",received
12:02:07 AM.283,"Temperature: 25.80 °C, Humidity: 22.00 %\r\n",received
12:02:07 AM.341,"Temperature: 25.80 °C, Humidity: 22.00 %\r\n",received
12:02:07 AM.410,"Temperature: 25.80 °C, Humidity: 22.00 %\r\n",received
12:02:07 AM.486,"Temperature: 25.80 °C, Humidity: 22.00 %\r\n",received
12:02:07 AM.550,"Temperature: 25.80 °C, Humidity: 22.00 %\r\n",received
12:02:07 AM.613,"Temperature: 25.80 °C, Humidity: 22.00 %\r\n",received
12:02:07 AM.677,"Temperature: 25.80 °C, Humidity: 22.00 %\r\n",received
12:02:07 AM.757,"Temperature: 25.80 °C, Humidity: 22.00 %\r\n",received
12:02:07 AM.821,"Temperature: 25.80 °C, Humidity: 22.00 %\r\n",received
12:02:07 AM.884,"Temperature: 25.80 °C, Humidity: 22.00 %\r\n",received
12:02:07 AM.949,"Temperature: 25.80 °C, Humidity: 22.00 %\r\n",received
12:02:08 AM.44,"Temperature: 25.80 °C, Humidity: 22.00 %\r\n",received
12:02:08 AM.109,"Temperature: 25.80 °C, Humidity: 22.00 %\r\n",received
12:02:08 AM.173,"Temperature: 25.80 °C, Humidity: 22.00 %\r\n",received
12:02:08 AM.237,"Temperature: 25.80 °C, Humidity: 22.00 %\r\n",received
12:02:08 AM.317,"Temperature: 25.80 °C, Humidity: 22.00 %\r\n",received
12:02:08 AM.382,"Temperature: 25.80 °C, Humidity: 22.00 %\r\n",received
12:02:08 AM.445,"Temperature: 25.80 °C, Humidity: 22.00 %\r\n",received
12:02:08 AM.509,"Temperature: 25.80 °C, Humidity: 22.00 %\r\n",received
12:02:08 AM.573,"Temperature: 25.80 °C, Humidity: 22.00 %\r\n",received
12:02:08 AM.654,"Temperature: 25.80 °C, Humidity: 22.00 %\r\n",received
12:02:08 AM.718,"Temperature: 25.80 °C, Humidity: 22.00 %\r\n",received
12:02:08 AM.782,"Temperature: 25.80 °C, Humidity: 22.00 %\r\n",received
12:02:08 AM.845,"Temperature: 25.80 °C, Humidity: 22.00 %\r\n",received
